# Taken at http://www.eso.org/sci/facilities/paranal/decommissioned/isaac/inst/isaac_img.html
# nm Ksband
2230.2 0.8707
2230.6 0.8713
2231.1 0.8717
2231.6 0.8714
2232.1 0.8714
2232.6 0.8720
2233.1 0.8730
2233.6 0.8739
2234.1 0.8741
2234.6 0.8739
2235.1 0.8740
2235.6 0.8747
2236.1 0.8751
2236.6 0.8748
2237.1 0.8736
2237.6 0.8722
2238.1 0.8717
2238.6 0.8721
2239.1 0.8725
2239.6 0.8727
2240.1 0.8726
2240.6 0.8725
2241.1 0.8729
2241.6 0.8731
2242.2 0.8725
2242.7 0.8715
2243.2 0.8706
2243.7 0.8703
2244.2 0.8705
2244.7 0.8705
2245.2 0.8696
2245.7 0.8687
2246.2 0.8683
2246.7 0.8684
2247.2 0.8685
2247.7 0.8680
2248.2 0.8668
2248.7 0.8661
2249.2 0.8662
2249.7 0.8666
2250.2 0.8669
2250.7 0.8665
2251.2 0.8657
2251.7 0.8655
2252.3 0.8657
2252.8 0.8657
2253.3 0.8652
2253.8 0.8641
2254.3 0.8632
2254.8 0.8632
2255.3 0.8635
2255.8 0.8635
2256.3 0.8630
2256.8 0.8623
2257.3 0.8619
2257.8 0.8621
2258.4 0.8624
2258.9 0.8622
2259.4 0.8621
2259.9 0.8624
2260.4 0.8631
2260.9 0.8639
2261.4 0.8641
2261.9 0.8636
2262.4 0.8634
2263 0.8635
2263.5 0.8639
2264 0.8643
2264.5 0.8643
2265 0.8643
2265.5 0.8650
2266 0.8662
2266.5 0.8672
2267.1 0.8678
2267.6 0.8682
2268.1 0.8687
2268.6 0.8698
2269.1 0.8708
2269.6 0.8708
2270.1 0.8704
2270.7 0.8700
2271.2 0.8702
2271.7 0.8712
2272.2 0.8718
2272.7 0.8716
2273.2 0.8711
2273.8 0.8708
2274.3 0.8706
2274.8 0.8703
2275.3 0.8690
2275.8 0.8667
2276.3 0.8645
2276.9 0.8628
2277.4 0.8614
2277.9 0.8598
2278.4 0.8571
2278.9 0.8539
2279.5 0.8508
2280 0.8478
2280.5 0.8441
2281 0.8395
2281.5 0.8337
2282.1 0.8276
2282.6 0.8218
2283.1 0.8159
2283.6 0.8092
2284.1 0.8015
2284.7 0.7930
2285.2 0.7842
2285.7 0.7756
2286.2 0.7666
2286.8 0.7568
2287.3 0.7465
2287.8 0.7359
2288.3 0.7250
2288.9 0.7137
2289.4 0.7016
2289.9 0.6887
2290.4 0.6757
2291 0.6630
2291.5 0.6502
2292 0.6371
2292.5 0.6235
2293.1 0.6094
2293.6 0.5956
2294.1 0.5817
2294.6 0.5675
2295.2 0.5530
2295.7 0.5385
2296.2 0.5243
2296.7 0.5107
2297.3 0.4973
2297.8 0.4836
2298.3 0.4696
2298.9 0.4557
2299.4 0.4422
2299.9 0.4294
2300.4 0.4167
2301 0.4035
2301.5 0.3901
2302 0.3769
2302.6 0.3641
2303.1 0.3521
2303.6 0.3407
2304.1 0.3295
2304.7 0.3188
2305.2 0.3083
2305.7 0.2978
2306.3 0.2875
2306.8 0.2772
2307.3 0.2671
2307.9 0.2575
2308.4 0.2483
2308.9 0.2393
2309.5 0.2305
2310 0.2219
2310.5 0.2137
2311.1 0.2059
2311.6 0.1984
2312.1 0.1912
2312.7 0.1841
2313.2 0.1773
2313.7 0.1706
2314.3 0.1642
2314.8 0.1578
2315.4 0.1514
2315.9 0.1451
2316.4 0.1389
2317 0.1330
2317.5 0.1276
2318 0.1226
2318.6 0.1180
2319.1 0.1136
2319.6 0.1093
2320.2 0.1050
2320.7 0.1009
2321.3 0.0969
2321.8 0.0932
2322.3 0.0896
2322.9 0.0859
2323.4 0.0824
2324 0.0790
2324.5 0.0761
2325 0.0734
2325.6 0.0706
2326.1 0.0676
2326.7 0.0644
2327.2 0.0612
2327.7 0.0583
2328.3 0.0557
2328.8 0.0533
2329.4 0.0509
2329.9 0.0485
2330.5 0.0463
2331 0.0445
2331.5 0.0429
2332.1 0.0415
2332.6 0.0401
2333.2 0.0387
2333.7 0.0372
2334.3 0.0356
2334.8 0.0340
2335.4 0.0322
2335.9 0.0304
2336.4 0.0288
2337 0.0275
2337.5 0.0265
2338.1 0.0255
2338.6 0.0244
2339.2 0.0233
2339.7 0.0222
2340.3 0.0211
2340.8 0.0201
2341.4 0.0191
2341.9 0.0183
2342.5 0.0178
2343 0.0174
2343.6 0.0171
2344.1 0.0167
2344.7 0.0158
2345.2 0.0149
2345.8 0.0140
