A	gBand	rBand	iBand	zBand	JBand	HBand	KBand
673	0.00000	0.67142	0.00000	0.00000	0.00000	0.00000	0.00000
674	0.00000	0.67111	0.00000	0.00000	0.00000	0.00000	0.00000
675	0.00000	0.67027	0.00000	0.00000	0.00000	0.00000	0.00000
676	0.00000	0.66877	0.00000	0.00000	0.00000	0.00000	0.00000
677	0.00000	0.66642	0.00000	0.00000	0.00000	0.00000	0.00000
678	0.00000	0.66454	0.00000	0.00000	0.00000	0.00000	0.00000
679	0.00000	0.66281	0.00000	0.00000	0.00000	0.00000	0.00000
680	0.00000	0.65971	0.00000	0.00000	0.00000	0.00000	0.00000
681	0.00000	0.65646	0.00000	0.00000	0.00000	0.00000	0.00000
682	0.00000	0.65437	0.00000	0.00000	0.00000	0.00000	0.00000
683	0.00000	0.65208	0.00000	0.00000	0.00000	0.00000	0.00000
684	0.00000	0.64875	0.00000	0.00000	0.00000	0.00000	0.00000
685	0.00000	0.64630	0.00001	0.00000	0.00000	0.00000	0.00000
686	0.00000	0.64517	0.00001	0.00000	0.00000	0.00000	0.00000
687	0.00000	0.64340	0.00001	0.00000	0.00000	0.00000	0.00000
688	0.00000	0.64174	0.00002	0.00000	0.00000	0.00000	0.00000
689	0.00000	0.64014	0.00003	0.00000	0.00000	0.00000	0.00000
690	0.00000	0.63987	0.00005	0.00000	0.00000	0.00000	0.00000
691	0.00001	0.64016	0.00008	0.00000	0.00000	0.00000	0.00000
692	0.00001	0.63736	0.00012	0.00000	0.00000	0.00000	0.00000
693	0.00001	0.63410	0.00019	0.00000	0.00000	0.00000	0.00000
694	0.00001	0.62953	0.00031	0.00000	0.00000	0.00000	0.00000
695	0.00001	0.62315	0.00049	0.00000	0.00000	0.00000	0.00000
696	0.00001	0.61311	0.00078	0.00000	0.00000	0.00000	0.00000
697	0.00001	0.60017	0.00125	0.00000	0.00000	0.00000	0.00000
698	0.00001	0.58536	0.00197	0.00000	0.00000	0.00000	0.00000
699	0.00002	0.56529	0.00305	0.00000	0.00000	0.00000	0.00000
700	0.00002	0.54292	0.00465	0.00000	0.00000	0.00000	0.00000
701	0.00003	0.51993	0.00695	0.00000	0.00000	0.00000	0.00000
702	0.00003	0.49468	0.01017	0.00000	0.00000	0.00000	0.00000
703	0.00005	0.46852	0.01457	0.00000	0.00000	0.00000	0.00000
704	0.00006	0.44075	0.02044	0.00000	0.00000	0.00000	0.00000
705	0.00008	0.41352	0.02813	0.00000	0.00000	0.00000	0.00000
706	0.00010	0.38467	0.03801	0.00000	0.00000	0.00000	0.00000
707	0.00009	0.35324	0.05055	0.00000	0.00000	0.00000	0.00000
708	0.00007	0.31657	0.06625	0.00000	0.00000	0.00000	0.00000
709	0.00005	0.27250	0.08573	0.00000	0.00000	0.00000	0.00000
710	0.00003	0.22171	0.10991	0.00000	0.00000	0.00000	0.00000
711	0.00002	0.16722	0.13960	0.00000	0.00000	0.00000	0.00000
712	0.00001	0.11636	0.17526	0.00000	0.00000	0.00000	0.00000
713	0.00001	0.07494	0.21693	0.00000	0.00000	0.00000	0.00000
714	0.00001	0.04501	0.26483	0.00000	0.00000	0.00000	0.00000
715	0.00000	0.02563	0.31724	0.00000	0.00000	0.00000	0.00000
716	0.00000	0.01424	0.37172	0.00000	0.00000	0.00000	0.00000
717	0.00000	0.00786	0.42612	0.00000	0.00000	0.00000	0.00000
718	0.00000	0.00441	0.47721	0.00000	0.00000	0.00000	0.00000
719	0.00000	0.00261	0.52279	0.00000	0.00000	0.00000	0.00000
720	0.00000	0.00168	0.56111	0.00000	0.00000	0.00000	0.00000
721	0.00000	0.00116	0.59280	0.00000	0.00000	0.00000	0.00000
722	0.00000	0.00085	0.61778	0.00000	0.00000	0.00000	0.00000
723	0.00000	0.00065	0.63624	0.00000	0.00000	0.00000	0.00000
724	0.00000	0.00051	0.64930	0.00000	0.00000	0.00000	0.00000
